,n_genes,dataset
"""ASGR1_CD45_UNB_P4_5_14""",637,human_liver_2019
"""ASGR1_CD45_UNB_P4_5_16""",1278,human_liver_2019
"""ASGR1_CD45_UNB_P4_5_19""",1369,human_liver_2019
"""ASGR1_CD45_UNB_P4_5_26""",1646,human_liver_2019
"""ASGR1_CD45_UNB_P4_5_27""",1197,human_liver_2019
"""ASGR1_CD45_UNB_P4_5_30""",3307,human_liver_2019
"""ASGR1_CD45_UNB_P4_5_35""",1067,human_liver_2019
"""ASGR1_CD45_UNB_P4_5_50""",2023,human_liver_2019
"""ASGR1_CD45_UNB_P4_5_51""",1079,human_liver_2019
"""ASGR1_CD45_UNB_P4_5_54""",1312,human_liver_2019
"""ASGR1_CD45_UNB_P4_5_55""",1489,human_liver_2019
"""ASGR1_CD45_UNB_P4_5_59""",2166,human_liver_2019
"""ASGR1_CD45_UNB_P4_5_61""",3857,human_liver_2019
"""ASGR1_CD45_UNB_P4_5_64""",1527,human_liver_2019
"""ASGR1_CD45_UNB_P4_5_65""",1601,human_liver_2019
"""ASGR1_CD45_UNB_P4_5_69""",1584,human_liver_2019
"""ASGR1_CD45_UNB_P4_5_70""",1560,human_liver_2019
"""ASGR1_CD45_UNB_P4_5_83""",1918,human_liver_2019
"""ASGR1_CD45_UNB_P4_5_91""",1407,human_liver_2019
"""ASGR1_CD45_UNB_P4_5_94""",1385,human_liver_2019
"""ASGR1_CD45_UNB_P4_5_173""",653,human_liver_2019
"""ASGR1_CD45_UNB_P4_6_30""",511,human_liver_2019
"""ASGR1_CD45_UNB_P4_6_59""",644,human_liver_2019
"""ASGR1_CD45_UNB_P4_6_106""",2006,human_liver_2019
"""ASGR1_CD45_UNB_P4_6_116""",2120,human_liver_2019
"""ASGR1_CD45_UNB_P4_6_131""",1092,human_liver_2019
"""ASGR1_CD45_UNB_P4_6_135""",1178,human_liver_2019
"""ASGR1_CD45_UNB_P4_6_140""",1884,human_liver_2019
"""ASGR1_CD45_UNB_P4_6_150""",1562,human_liver_2019
"""ASGR1_CD45_UNB_P4_6_151""",2051,human_liver_2019
"""ASGR1_CD45_UNB_P4_6_163""",1123,human_liver_2019
"""ASGR1_CD45_UNB_P4_6_166""",2181,human_liver_2019
"""ASGR1_CD45_UNB_P4_6_169""",1324,human_liver_2019
"""ASGR1_CD45_UNB_P4_6_171""",2585,human_liver_2019
"""ASGR1_CD45_UNB_P4_6_173""",3127,human_liver_2019
"""ASGR1_CD45_UNB_P4_6_177""",320,human_liver_2019
"""ASGR1_CD45_UNB_P4_6_178""",246,human_liver_2019
"""ASGR1_CD45_UNB_P4_6_179""",2519,human_liver_2019
"""ASGR1_CD45_UNB_P4_6_181""",898,human_liver_2019
"""ASGR1_CD45_UNB_P4_6_189""",619,human_liver_2019
"""ASGR1_CD45_UNB_P4_6_190""",1189,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_2""",3102,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_4""",1785,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_7""",2321,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_14""",3951,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_16""",1517,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_24""",1968,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_30""",699,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_34""",989,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_37""",1520,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_40""",2511,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_41""",1338,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_47""",814,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_50""",1192,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_52""",180,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_54""",3378,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_55""",1195,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_57""",1096,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_59""",2537,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_60""",2361,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_61""",1028,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_65""",3316,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_73""",1401,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_75""",1919,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_76""",2288,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_78""",1678,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_96""",3437,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_103""",555,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_104""",788,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_106""",567,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_127""",720,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_128""",487,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_136""",884,human_liver_2019
"""ASGR1_CD45_UNB_P4_7_137""",837,human_liver_2019
