,n_genes,dataset
W120595,402,bahar_2017
W120601,1252,bahar_2017
W120602,1276,bahar_2017
W120604,1152,bahar_2017
W120611,2025,bahar_2017
W120613,1728,bahar_2017
W120617,1433,bahar_2017
W120618,459,bahar_2017
W120619,1491,bahar_2017
W120622,573,bahar_2017
W120625,1017,bahar_2017
W120628,393,bahar_2017
W120629,1724,bahar_2017
W120633,1370,bahar_2017
W120634,909,bahar_2017
W120637,1870,bahar_2017
W120639,1017,bahar_2017
W120641,969,bahar_2017
W120643,834,bahar_2017
W120645,2114,bahar_2017
W120646,892,bahar_2017
W120647,705,bahar_2017
W120649,787,bahar_2017
W120650,873,bahar_2017
W120651,891,bahar_2017
W120654,1443,bahar_2017
W120655,470,bahar_2017
W120658,584,bahar_2017
W120659,664,bahar_2017
W120661,1266,bahar_2017
W120662,1139,bahar_2017
W120664,1122,bahar_2017
W120665,845,bahar_2017
W120666,1296,bahar_2017
W120667,1259,bahar_2017
W120668,1151,bahar_2017
W120670,745,bahar_2017
W120671,1046,bahar_2017
W120673,943,bahar_2017
W120674,927,bahar_2017
W120675,633,bahar_2017
W120676,457,bahar_2017
W120677,797,bahar_2017
W120678,313,bahar_2017
W120681,1125,bahar_2017
W120682,1199,bahar_2017
W120683,1486,bahar_2017
W120684,886,bahar_2017
W120687,713,bahar_2017
W120698,948,bahar_2017
W120706,440,bahar_2017
W120707,961,bahar_2017
W120708,605,bahar_2017
W120714,1046,bahar_2017
W120716,521,bahar_2017
W120722,559,bahar_2017
W120724,883,bahar_2017
W120725,619,bahar_2017
W120729,1144,bahar_2017
W120730,631,bahar_2017
W120731,712,bahar_2017
W120732,612,bahar_2017
W120733,1054,bahar_2017
W120737,1418,bahar_2017
W120738,638,bahar_2017
W120740,880,bahar_2017
W120741,2496,bahar_2017
W120744,1339,bahar_2017
W120746,407,bahar_2017
W120747,664,bahar_2017
W120748,355,bahar_2017
W120749,570,bahar_2017
W120750,1399,bahar_2017
W120753,844,bahar_2017
W120754,627,bahar_2017
W120755,851,bahar_2017
W120758,563,bahar_2017
W120760,1295,bahar_2017
W120761,817,bahar_2017
W120762,1026,bahar_2017
W120763,528,bahar_2017
W120764,626,bahar_2017
W120765,1231,bahar_2017
W120766,1122,bahar_2017
W120768,364,bahar_2017
W120769,1732,bahar_2017
W120770,898,bahar_2017
W120771,741,bahar_2017
W120772,1050,bahar_2017
W120773,666,bahar_2017
W120774,1791,bahar_2017
W120776,1145,bahar_2017
W120777,1294,bahar_2017
W120778,947,bahar_2017
W120779,745,bahar_2017
W120780,481,bahar_2017
W120781,1672,bahar_2017
W120783,486,bahar_2017
W120784,385,bahar_2017
W120785,1114,bahar_2017
W120786,593,bahar_2017
W120793,990,bahar_2017
W120794,1104,bahar_2017
W120795,659,bahar_2017
W120801,1568,bahar_2017
W120803,947,bahar_2017
W120804,558,bahar_2017
W120809,1257,bahar_2017
W120811,1117,bahar_2017
W120817,1156,bahar_2017
W120820,1327,bahar_2017
W120821,1749,bahar_2017
W120823,1378,bahar_2017
W120825,1600,bahar_2017
W120827,859,bahar_2017
W120831,594,bahar_2017
W120833,1100,bahar_2017
W120834,784,bahar_2017
W120835,522,bahar_2017
W120836,1012,bahar_2017
W120842,809,bahar_2017
W120844,433,bahar_2017
W120845,432,bahar_2017
W120848,547,bahar_2017
W120849,2011,bahar_2017
W120850,581,bahar_2017
W120851,1000,bahar_2017
W120852,493,bahar_2017
W120853,654,bahar_2017
W120854,885,bahar_2017
W120857,901,bahar_2017
W120858,573,bahar_2017
W120859,1214,bahar_2017
W120860,1060,bahar_2017
W120861,673,bahar_2017
W120862,318,bahar_2017
W120863,1297,bahar_2017
W120865,443,bahar_2017
W120867,1289,bahar_2017
W120868,761,bahar_2017
W120869,730,bahar_2017
W120870,1441,bahar_2017
W120872,1141,bahar_2017
W120873,1418,bahar_2017
W120874,292,bahar_2017
W120875,1352,bahar_2017
W120876,1375,bahar_2017
W120877,1340,bahar_2017
W120878,950,bahar_2017
W120879,1515,bahar_2017
W120880,900,bahar_2017
W120881,1466,bahar_2017
W120882,484,bahar_2017
W120883,950,bahar_2017
W120890,1076,bahar_2017
W120891,1328,bahar_2017
W120896,7101,bahar_2017
W120897,1061,bahar_2017
W120899,736,bahar_2017
W120907,1300,bahar_2017
W120909,1367,bahar_2017
W120914,1021,bahar_2017
W120916,1664,bahar_2017
W120919,556,bahar_2017
W120921,1893,bahar_2017
W120926,628,bahar_2017
W120928,540,bahar_2017
W120929,1078,bahar_2017
W120930,610,bahar_2017
W120933,1037,bahar_2017
W120937,2552,bahar_2017
W120938,1864,bahar_2017
W120939,433,bahar_2017
W120940,413,bahar_2017
