,gene_name,dataset
0,Sox17,old_10X_cruk_changed_buffer
1,Gm37587,old_10X_cruk_changed_buffer
2,Mrpl15,old_10X_cruk_changed_buffer
3,Lypla1,old_10X_cruk_changed_buffer
4,Tcea1,old_10X_cruk_changed_buffer
5,Atp6v1h,old_10X_cruk_changed_buffer
6,Oprk1,old_10X_cruk_changed_buffer
7,Rb1cc1,old_10X_cruk_changed_buffer
8,4732440D04Rik,old_10X_cruk_changed_buffer
9,Pcmtd1,old_10X_cruk_changed_buffer
10,Gm26901,old_10X_cruk_changed_buffer
11,Sntg1,old_10X_cruk_changed_buffer
12,Rrs1,old_10X_cruk_changed_buffer
13,Adhfe1,old_10X_cruk_changed_buffer
14,2610203C22Rik,old_10X_cruk_changed_buffer
15,Mybl1,old_10X_cruk_changed_buffer
16,Vcpip1,old_10X_cruk_changed_buffer
17,1700034P13Rik,old_10X_cruk_changed_buffer
18,Sgk3,old_10X_cruk_changed_buffer
19,Mcmdc2,old_10X_cruk_changed_buffer
20,Snhg6,old_10X_cruk_changed_buffer
21,Ppp1r42,old_10X_cruk_changed_buffer
22,Cops5,old_10X_cruk_changed_buffer
23,Cspp1,old_10X_cruk_changed_buffer
24,Arfgef1,old_10X_cruk_changed_buffer
25,Cpa6,old_10X_cruk_changed_buffer
26,Prex2,old_10X_cruk_changed_buffer
27,A830018L16Rik,old_10X_cruk_changed_buffer
28,Sulf1,old_10X_cruk_changed_buffer
29,Prdm14,old_10X_cruk_changed_buffer
30,Ncoa2,old_10X_cruk_changed_buffer
31,Tram1,old_10X_cruk_changed_buffer
32,Lactb2,old_10X_cruk_changed_buffer
33,Xkr9,old_10X_cruk_changed_buffer
34,Terf1,old_10X_cruk_changed_buffer
35,Sbspon,old_10X_cruk_changed_buffer
36,Rpl7,old_10X_cruk_changed_buffer
37,Rdh10,old_10X_cruk_changed_buffer
38,Stau2,old_10X_cruk_changed_buffer
39,Ube2w,old_10X_cruk_changed_buffer
40,Eloc,old_10X_cruk_changed_buffer
41,Tmem70,old_10X_cruk_changed_buffer
42,Ly96,old_10X_cruk_changed_buffer
43,Jph1,old_10X_cruk_changed_buffer
44,Gdap1,old_10X_cruk_changed_buffer
45,Gm28756,old_10X_cruk_changed_buffer
46,Pkhd1,old_10X_cruk_changed_buffer
47,Mcm3,old_10X_cruk_changed_buffer
48,Paqr8,old_10X_cruk_changed_buffer
49,Tram2,old_10X_cruk_changed_buffer
50,Tmem14a,old_10X_cruk_changed_buffer
51,Gsta3,old_10X_cruk_changed_buffer
52,Gm29107,old_10X_cruk_changed_buffer
53,Ogfrl1,old_10X_cruk_changed_buffer
54,B3gat2,old_10X_cruk_changed_buffer
55,Smap1,old_10X_cruk_changed_buffer
56,Sdhaf4,old_10X_cruk_changed_buffer
57,Fam135a,old_10X_cruk_changed_buffer
58,Lmbrd1,old_10X_cruk_changed_buffer
59,Gm5524,old_10X_cruk_changed_buffer
60,Phf3,old_10X_cruk_changed_buffer
61,Ptp4a1,old_10X_cruk_changed_buffer
62,Gm37724,old_10X_cruk_changed_buffer
63,Prim2,old_10X_cruk_changed_buffer
64,Rab23,old_10X_cruk_changed_buffer
65,Bag2,old_10X_cruk_changed_buffer
66,Zfp451,old_10X_cruk_changed_buffer
67,Dst,old_10X_cruk_changed_buffer
68,Gm37233,old_10X_cruk_changed_buffer
69,Ccdc115,old_10X_cruk_changed_buffer
70,Imp4,old_10X_cruk_changed_buffer
71,Ptpn18,old_10X_cruk_changed_buffer
72,Gm28417,old_10X_cruk_changed_buffer
73,Gm38336,old_10X_cruk_changed_buffer
74,Fam168b,old_10X_cruk_changed_buffer
75,Plekhb2,old_10X_cruk_changed_buffer
76,Hs6st1,old_10X_cruk_changed_buffer
77,Gm37335,old_10X_cruk_changed_buffer
78,Gm33280,old_10X_cruk_changed_buffer
79,Uggt1,old_10X_cruk_changed_buffer
80,Neurl3,old_10X_cruk_changed_buffer
81,Arid5a,old_10X_cruk_changed_buffer
82,4930403P22Rik,old_10X_cruk_changed_buffer
83,Kansl3,old_10X_cruk_changed_buffer
84,Lman2l,old_10X_cruk_changed_buffer
85,Cnnm4,old_10X_cruk_changed_buffer
86,Cnnm3,old_10X_cruk_changed_buffer
87,Ankrd23,old_10X_cruk_changed_buffer
88,Ankrd39,old_10X_cruk_changed_buffer
89,Sema4c,old_10X_cruk_changed_buffer
90,D430040D24Rik,old_10X_cruk_changed_buffer
91,Cox5b,old_10X_cruk_changed_buffer
92,Actr1b,old_10X_cruk_changed_buffer
93,Zap70,old_10X_cruk_changed_buffer
94,Tmem131,old_10X_cruk_changed_buffer
95,Gm38115,old_10X_cruk_changed_buffer
96,Inpp4a,old_10X_cruk_changed_buffer
97,Coa5,old_10X_cruk_changed_buffer
98,Unc50,old_10X_cruk_changed_buffer
99,Tsga10,old_10X_cruk_changed_buffer
100,Lipt1,old_10X_cruk_changed_buffer
101,Mitd1,old_10X_cruk_changed_buffer
102,Mrpl30,old_10X_cruk_changed_buffer
103,Txndc9,old_10X_cruk_changed_buffer
104,Eif5b,old_10X_cruk_changed_buffer
105,Rev1,old_10X_cruk_changed_buffer
106,Chst10,old_10X_cruk_changed_buffer
107,Pdcl3,old_10X_cruk_changed_buffer
108,Npas2,old_10X_cruk_changed_buffer
109,Rpl31,old_10X_cruk_changed_buffer
110,Tbc1d8,old_10X_cruk_changed_buffer
111,Cnot11,old_10X_cruk_changed_buffer
112,Gm15832,old_10X_cruk_changed_buffer
113,Rnf149,old_10X_cruk_changed_buffer
114,Creg2,old_10X_cruk_changed_buffer
115,Map4k4,old_10X_cruk_changed_buffer
116,Il1r1,old_10X_cruk_changed_buffer
117,Il1rl2,old_10X_cruk_changed_buffer
118,Il18rap,old_10X_cruk_changed_buffer
119,Mfsd9,old_10X_cruk_changed_buffer
120,Tmem182,old_10X_cruk_changed_buffer
121,Mrps9,old_10X_cruk_changed_buffer
122,Tgfbrap1,old_10X_cruk_changed_buffer
123,8430432A02Rik,old_10X_cruk_changed_buffer
124,AI597479,old_10X_cruk_changed_buffer
125,Nck2,old_10X_cruk_changed_buffer
126,Gm29155,old_10X_cruk_changed_buffer
127,Uxs1,old_10X_cruk_changed_buffer
128,Tpp2,old_10X_cruk_changed_buffer
