,gene_name,dataset
0,Rp1,old_10X_cruk
1,Sox17,old_10X_cruk
2,Gm37587,old_10X_cruk
3,Mrpl15,old_10X_cruk
4,Lypla1,old_10X_cruk
5,Tcea1,old_10X_cruk
6,Rgs20,old_10X_cruk
7,Atp6v1h,old_10X_cruk
8,Rb1cc1,old_10X_cruk
9,4732440D04Rik,old_10X_cruk
10,Pcmtd1,old_10X_cruk
11,Gm26901,old_10X_cruk
12,Sntg1,old_10X_cruk
13,Rrs1,old_10X_cruk
14,Adhfe1,old_10X_cruk
15,2610203C22Rik,old_10X_cruk
16,Mybl1,old_10X_cruk
17,Vcpip1,old_10X_cruk
18,1700034P13Rik,old_10X_cruk
19,Sgk3,old_10X_cruk
20,Mcmdc2,old_10X_cruk
21,Snhg6,old_10X_cruk
22,Tcf24,old_10X_cruk
23,Ppp1r42,old_10X_cruk
24,Cops5,old_10X_cruk
25,Cspp1,old_10X_cruk
26,Arfgef1,old_10X_cruk
27,Prex2,old_10X_cruk
28,A830018L16Rik,old_10X_cruk
29,Gm17644,old_10X_cruk
30,Sulf1,old_10X_cruk
31,Ncoa2,old_10X_cruk
32,Tram1,old_10X_cruk
33,Lactb2,old_10X_cruk
34,Xkr9,old_10X_cruk
35,Terf1,old_10X_cruk
36,4930444P10Rik,old_10X_cruk
37,Rpl7,old_10X_cruk
38,Rdh10,old_10X_cruk
39,Stau2,old_10X_cruk
40,Ube2w,old_10X_cruk
41,Eloc,old_10X_cruk
42,Tmem70,old_10X_cruk
43,Ly96,old_10X_cruk
44,Jph1,old_10X_cruk
45,Pi15,old_10X_cruk
46,Pkhd1,old_10X_cruk
47,Mcm3,old_10X_cruk
48,Efhc1,old_10X_cruk
49,Tram2,old_10X_cruk
50,Gm28287,old_10X_cruk
51,Tmem14a,old_10X_cruk
52,Gsta3,old_10X_cruk
53,Gm28836,old_10X_cruk
54,Khdc1b,old_10X_cruk
55,Kcnq5,old_10X_cruk
56,Rims1,old_10X_cruk
57,4933415F23Rik,old_10X_cruk
58,Gm29107,old_10X_cruk
