,n_genes,dataset
SLX-19577.i701_i502,2634,snRNAseq2_old_buffer
SLX-19577.i701_i503,3443,snRNAseq2_old_buffer
SLX-19577.i701_i505,789,snRNAseq2_old_buffer
SLX-19577.i701_i506,574,snRNAseq2_old_buffer
SLX-19577.i701_i507,199,snRNAseq2_old_buffer
SLX-19577.i701_i508,861,snRNAseq2_old_buffer
SLX-19577.i701_i510,1095,snRNAseq2_old_buffer
SLX-19577.i701_i511,348,snRNAseq2_old_buffer
SLX-19577.i701_i513,792,snRNAseq2_old_buffer
SLX-19577.i701_i515,438,snRNAseq2_old_buffer
SLX-19577.i701_i516,720,snRNAseq2_old_buffer
SLX-19577.i701_i517,2252,snRNAseq2_old_buffer
SLX-19577.i701_i518,144,snRNAseq2_old_buffer
SLX-19577.i701_i520,1403,snRNAseq2_old_buffer
SLX-19577.i701_i521,1151,snRNAseq2_old_buffer
SLX-19577.i701_i522,1097,snRNAseq2_old_buffer
SLX-19577.i702_i502,3385,snRNAseq2_old_buffer
SLX-19577.i702_i503,850,snRNAseq2_old_buffer
SLX-19577.i702_i505,732,snRNAseq2_old_buffer
SLX-19577.i702_i506,165,snRNAseq2_old_buffer
SLX-19577.i702_i507,1497,snRNAseq2_old_buffer
SLX-19577.i702_i508,1614,snRNAseq2_old_buffer
SLX-19577.i702_i510,3097,snRNAseq2_old_buffer
SLX-19577.i702_i511,875,snRNAseq2_old_buffer
SLX-19577.i702_i513,185,snRNAseq2_old_buffer
SLX-19577.i702_i515,399,snRNAseq2_old_buffer
SLX-19577.i702_i516,1290,snRNAseq2_old_buffer
SLX-19577.i702_i517,495,snRNAseq2_old_buffer
SLX-19577.i702_i518,392,snRNAseq2_old_buffer
SLX-19577.i702_i520,575,snRNAseq2_old_buffer
SLX-19577.i702_i521,1392,snRNAseq2_old_buffer
SLX-19577.i702_i522,447,snRNAseq2_old_buffer
SLX-19577.i703_i502,2430,snRNAseq2_old_buffer
SLX-19577.i703_i503,4512,snRNAseq2_old_buffer
SLX-19577.i703_i505,610,snRNAseq2_old_buffer
SLX-19577.i703_i506,274,snRNAseq2_old_buffer
SLX-19577.i703_i507,1028,snRNAseq2_old_buffer
SLX-19577.i703_i508,337,snRNAseq2_old_buffer
SLX-19577.i703_i510,1296,snRNAseq2_old_buffer
SLX-19577.i703_i511,847,snRNAseq2_old_buffer
SLX-19577.i703_i513,707,snRNAseq2_old_buffer
SLX-19577.i703_i515,646,snRNAseq2_old_buffer
SLX-19577.i703_i516,446,snRNAseq2_old_buffer
SLX-19577.i703_i517,695,snRNAseq2_old_buffer
SLX-19577.i703_i518,1773,snRNAseq2_old_buffer
SLX-19577.i703_i520,1873,snRNAseq2_old_buffer
SLX-19577.i703_i521,1801,snRNAseq2_old_buffer
SLX-19577.i703_i522,1776,snRNAseq2_old_buffer
SLX-19577.i704_i502,5086,snRNAseq2_old_buffer
SLX-19577.i704_i503,1796,snRNAseq2_old_buffer
SLX-19577.i704_i505,1840,snRNAseq2_old_buffer
SLX-19577.i704_i506,1016,snRNAseq2_old_buffer
SLX-19577.i704_i507,688,snRNAseq2_old_buffer
SLX-19577.i704_i508,522,snRNAseq2_old_buffer
SLX-19577.i704_i510,575,snRNAseq2_old_buffer
SLX-19577.i704_i511,925,snRNAseq2_old_buffer
SLX-19577.i704_i513,980,snRNAseq2_old_buffer
SLX-19577.i704_i515,1155,snRNAseq2_old_buffer
SLX-19577.i704_i516,397,snRNAseq2_old_buffer
SLX-19577.i704_i517,252,snRNAseq2_old_buffer
SLX-19577.i704_i518,2530,snRNAseq2_old_buffer
SLX-19577.i704_i520,674,snRNAseq2_old_buffer
SLX-19577.i704_i521,1273,snRNAseq2_old_buffer
SLX-19577.i704_i522,429,snRNAseq2_old_buffer
SLX-19577.i705_i502,1081,snRNAseq2_old_buffer
