,gene_name,dataset
0,Gnai3,snRNAseq2_old_buffer
1,Cdc45,snRNAseq2_old_buffer
2,Scml2,snRNAseq2_old_buffer
3,Apoh,snRNAseq2_old_buffer
4,Narf,snRNAseq2_old_buffer
5,Scmh1,snRNAseq2_old_buffer
6,Cox5a,snRNAseq2_old_buffer
7,Tbx4,snRNAseq2_old_buffer
8,Wnt3,snRNAseq2_old_buffer
9,Wnt9a,snRNAseq2_old_buffer
10,Xpo6,snRNAseq2_old_buffer
11,Axin2,snRNAseq2_old_buffer
12,Brat1,snRNAseq2_old_buffer
13,Gna12,snRNAseq2_old_buffer
14,Slc22a18,snRNAseq2_old_buffer
15,Dlat,snRNAseq2_old_buffer
16,Sdhd,snRNAseq2_old_buffer
17,Fgf23,snRNAseq2_old_buffer
18,Ccnd2,snRNAseq2_old_buffer
19,Gpr107,snRNAseq2_old_buffer
20,Nalcn,snRNAseq2_old_buffer
21,Slfn4,snRNAseq2_old_buffer
22,Ins2,snRNAseq2_old_buffer
23,Tspan32,snRNAseq2_old_buffer
24,Clec2g,snRNAseq2_old_buffer
25,Glra1,snRNAseq2_old_buffer
26,Mid2,snRNAseq2_old_buffer
27,Trim25,snRNAseq2_old_buffer
28,Dgke,snRNAseq2_old_buffer
29,Scpep1,snRNAseq2_old_buffer
30,Mnt,snRNAseq2_old_buffer
31,Itgb2,snRNAseq2_old_buffer
32,Hddc2,snRNAseq2_old_buffer
33,Cdh4,snRNAseq2_old_buffer
34,Ckmt1,snRNAseq2_old_buffer
35,Alox12,snRNAseq2_old_buffer
36,Dazap2,snRNAseq2_old_buffer
37,Mcts1,snRNAseq2_old_buffer
38,Rem1,snRNAseq2_old_buffer
39,Rnf17,snRNAseq2_old_buffer
40,Trappc10,snRNAseq2_old_buffer
41,Wap,snRNAseq2_old_buffer
42,Tbrg4,snRNAseq2_old_buffer
43,Egfl6,snRNAseq2_old_buffer
44,Lck,snRNAseq2_old_buffer
45,Galnt1,snRNAseq2_old_buffer
46,Mkrn2,snRNAseq2_old_buffer
47,Pparg,snRNAseq2_old_buffer
48,Raf1,snRNAseq2_old_buffer
49,Sept1,snRNAseq2_old_buffer
50,Acvrl1,snRNAseq2_old_buffer
51,Grasp,snRNAseq2_old_buffer
52,Acvr1b,snRNAseq2_old_buffer
53,Tom1l2,snRNAseq2_old_buffer
54,Gpa33,snRNAseq2_old_buffer
55,Zfp385a,snRNAseq2_old_buffer
56,Itga5,snRNAseq2_old_buffer
57,Wdr77,snRNAseq2_old_buffer
58,Adora3,snRNAseq2_old_buffer
59,Atp5f1,snRNAseq2_old_buffer
60,Sox9,snRNAseq2_old_buffer
61,Hnrnpd,snRNAseq2_old_buffer
62,Dynlt1c,snRNAseq2_old_buffer
63,Gm2a,snRNAseq2_old_buffer
64,Krit1,snRNAseq2_old_buffer
65,Clcn4,snRNAseq2_old_buffer
66,Grm6,snRNAseq2_old_buffer
67,Sema4f,snRNAseq2_old_buffer
68,Hk2,snRNAseq2_old_buffer
69,Myo18a,snRNAseq2_old_buffer
70,Sez6,snRNAseq2_old_buffer
71,Haao,snRNAseq2_old_buffer
72,Cd52,snRNAseq2_old_buffer
73,Abhd15,snRNAseq2_old_buffer
74,Hoxb6,snRNAseq2_old_buffer
75,Loxl3,snRNAseq2_old_buffer
76,Btn1a1,snRNAseq2_old_buffer
77,Kat2b,snRNAseq2_old_buffer
78,Rab5b,snRNAseq2_old_buffer
79,Dnmt3l,snRNAseq2_old_buffer
80,Aire,snRNAseq2_old_buffer
81,Spg7,snRNAseq2_old_buffer
82,Sult5a1,snRNAseq2_old_buffer
83,Rpl13,snRNAseq2_old_buffer
84,Chmp1a,snRNAseq2_old_buffer
85,Rpa1,snRNAseq2_old_buffer
86,Serpinf1,snRNAseq2_old_buffer
87,Tubgcp3,snRNAseq2_old_buffer
88,Polr3d,snRNAseq2_old_buffer
89,Tcf7,snRNAseq2_old_buffer
90,Il12rb1,snRNAseq2_old_buffer
91,Kcnn3,snRNAseq2_old_buffer
92,Dnajc5,snRNAseq2_old_buffer
93,Tpd52l2,snRNAseq2_old_buffer
94,Fmr1,snRNAseq2_old_buffer
95,Bcl11a,snRNAseq2_old_buffer
96,Il4,snRNAseq2_old_buffer
97,Pxmp4,snRNAseq2_old_buffer
98,Dlg3,snRNAseq2_old_buffer
99,Gnb1l,snRNAseq2_old_buffer
100,Smarcb1,snRNAseq2_old_buffer
101,Vpreb3,snRNAseq2_old_buffer
102,Hip1r,snRNAseq2_old_buffer
103,Nsun5,snRNAseq2_old_buffer
104,Top1mt,snRNAseq2_old_buffer
105,Mmp14,snRNAseq2_old_buffer
106,Slc7a7,snRNAseq2_old_buffer
107,Heatr6,snRNAseq2_old_buffer
108,Chtop,snRNAseq2_old_buffer
109,Snapin,snRNAseq2_old_buffer
110,S100a4,snRNAseq2_old_buffer
111,S100a3,snRNAseq2_old_buffer
112,S100a5,snRNAseq2_old_buffer
113,Icam2,snRNAseq2_old_buffer
114,B9d1,snRNAseq2_old_buffer
115,Sec24b,snRNAseq2_old_buffer
116,N4bp3,snRNAseq2_old_buffer
117,Rmnd5b,snRNAseq2_old_buffer
118,Nhp2,snRNAseq2_old_buffer
119,C1ql4,snRNAseq2_old_buffer
120,Mfsd10,snRNAseq2_old_buffer
121,Luzp1,snRNAseq2_old_buffer
122,Slc13a2,snRNAseq2_old_buffer
123,Kctd10,snRNAseq2_old_buffer
124,Poldip2,snRNAseq2_old_buffer
125,Col6a1,snRNAseq2_old_buffer
126,Pcbp3,snRNAseq2_old_buffer
127,Lgals9,snRNAseq2_old_buffer
128,Cfp,snRNAseq2_old_buffer
129,Cnnm3,snRNAseq2_old_buffer
130,Lman2l,snRNAseq2_old_buffer
131,Mcm3ap,snRNAseq2_old_buffer
132,Pcnt,snRNAseq2_old_buffer
133,Gmcl1,snRNAseq2_old_buffer
134,Snrnp27,snRNAseq2_old_buffer
135,Ocrl,snRNAseq2_old_buffer
136,Calm1,snRNAseq2_old_buffer
137,Agpat3,snRNAseq2_old_buffer
138,Slc26a3,snRNAseq2_old_buffer
139,Sema6b,snRNAseq2_old_buffer
140,Uhrf1,snRNAseq2_old_buffer
141,Dpp9,snRNAseq2_old_buffer
142,Ramp2,snRNAseq2_old_buffer
143,Lsr,snRNAseq2_old_buffer
144,Hpn,snRNAseq2_old_buffer
145,Gabrg1,snRNAseq2_old_buffer
146,Ckb,snRNAseq2_old_buffer
147,Sp1,snRNAseq2_old_buffer
148,Itgb7,snRNAseq2_old_buffer
149,Myg1,snRNAseq2_old_buffer
150,Rarg,snRNAseq2_old_buffer
151,Pfdn5,snRNAseq2_old_buffer
152,Efnb2,snRNAseq2_old_buffer
153,Rnd2,snRNAseq2_old_buffer
154,Srr,snRNAseq2_old_buffer
155,Sync,snRNAseq2_old_buffer
156,Fndc5,snRNAseq2_old_buffer
157,Acp5,snRNAseq2_old_buffer
158,Fbxo9,snRNAseq2_old_buffer
159,Vps50,snRNAseq2_old_buffer
160,Zmat2,snRNAseq2_old_buffer
161,Ube2c,snRNAseq2_old_buffer
162,Smg5,snRNAseq2_old_buffer
163,Cct3,snRNAseq2_old_buffer
164,Glmp,snRNAseq2_old_buffer
165,Mef2d,snRNAseq2_old_buffer
