,n_genes,dataset
do20279,3002,snRNAseq2
do20280,1224,snRNAseq2
do20281,1059,snRNAseq2
do20282,1996,snRNAseq2
do20283,3736,snRNAseq2
do20284,3429,snRNAseq2
do20285,2402,snRNAseq2
do20286,1043,snRNAseq2
do20287,4014,snRNAseq2
do20288,2736,snRNAseq2
do20289,1180,snRNAseq2
do20290,4421,snRNAseq2
do20291,841,snRNAseq2
do20292,4668,snRNAseq2
do20293,4657,snRNAseq2
do20294,4968,snRNAseq2
do20295,4186,snRNAseq2
do20296,1747,snRNAseq2
do20297,1629,snRNAseq2
do20298,3708,snRNAseq2
do20299,2184,snRNAseq2
do20300,2735,snRNAseq2
do20301,1202,snRNAseq2
do20302,2388,snRNAseq2
do20303,4744,snRNAseq2
do20304,4583,snRNAseq2
do20305,4837,snRNAseq2
do20306,957,snRNAseq2
do20307,3818,snRNAseq2
do20308,4382,snRNAseq2
do20309,2902,snRNAseq2
do20310,4669,snRNAseq2
do20311,2438,snRNAseq2
do20312,2148,snRNAseq2
do20313,3443,snRNAseq2
do20314,3233,snRNAseq2
do20315,3123,snRNAseq2
do20316,3344,snRNAseq2
do20317,1166,snRNAseq2
do20318,1183,snRNAseq2
do20319,3651,snRNAseq2
do20320,3438,snRNAseq2
do20321,4120,snRNAseq2
do20322,4244,snRNAseq2
do20323,4288,snRNAseq2
do20324,4135,snRNAseq2
do20325,4132,snRNAseq2
do20326,5036,snRNAseq2
do20327,1499,snRNAseq2
do20328,2931,snRNAseq2
do20329,2940,snRNAseq2
do20330,3511,snRNAseq2
do20331,3459,snRNAseq2
do20332,2283,snRNAseq2
do20333,3659,snRNAseq2
do20334,1290,snRNAseq2
do20335,4390,snRNAseq2
do20336,4370,snRNAseq2
do20337,4501,snRNAseq2
do20338,2908,snRNAseq2
do20339,4025,snRNAseq2
do20340,3590,snRNAseq2
do20341,4223,snRNAseq2
do20342,5142,snRNAseq2
do20343,3934,snRNAseq2
do20344,2923,snRNAseq2
do20345,2911,snRNAseq2
do20346,3183,snRNAseq2
do20347,1819,snRNAseq2
do20348,3491,snRNAseq2
do20349,6493,snRNAseq2
do20350,1455,snRNAseq2
do20351,1784,snRNAseq2
do20352,4874,snRNAseq2
do20353,4700,snRNAseq2
do20354,4250,snRNAseq2
do20355,3679,snRNAseq2
do20356,4067,snRNAseq2
do20357,4563,snRNAseq2
do20358,3427,snRNAseq2
do20359,2118,snRNAseq2
do20360,1329,snRNAseq2
do20361,3126,snRNAseq2
do20362,2519,snRNAseq2
do20363,4303,snRNAseq2
do20364,1757,snRNAseq2
do20365,3528,snRNAseq2
