,gene_name,gene_id,dataset
0,Gnai3,ENSMUSG00000000001,snRNAseq2
1,Cdc45,ENSMUSG00000000028,snRNAseq2
2,Scml2,ENSMUSG00000000037,snRNAseq2
3,Apoh,ENSMUSG00000000049,snRNAseq2
4,Narf,ENSMUSG00000000056,snRNAseq2
5,Scmh1,ENSMUSG00000000085,snRNAseq2
6,Cox5a,ENSMUSG00000000088,snRNAseq2
7,Tbx2,ENSMUSG00000000093,snRNAseq2
8,Tbx4,ENSMUSG00000000094,snRNAseq2
9,Ngfr,ENSMUSG00000000120,snRNAseq2
10,Wnt3,ENSMUSG00000000125,snRNAseq2
11,Wnt9a,ENSMUSG00000000126,snRNAseq2
12,Xpo6,ENSMUSG00000000131,snRNAseq2
13,Tfe3,ENSMUSG00000000134,snRNAseq2
14,Axin2,ENSMUSG00000000142,snRNAseq2
15,Brat1,ENSMUSG00000000148,snRNAseq2
16,Gna12,ENSMUSG00000000149,snRNAseq2
17,Slc22a18,ENSMUSG00000000154,snRNAseq2
18,Dlat,ENSMUSG00000000168,snRNAseq2
19,Sdhd,ENSMUSG00000000171,snRNAseq2
20,Fgf23,ENSMUSG00000000182,snRNAseq2
21,Fgf6,ENSMUSG00000000183,snRNAseq2
22,Ccnd2,ENSMUSG00000000184,snRNAseq2
23,Gpr107,ENSMUSG00000000194,snRNAseq2
24,Nalcn,ENSMUSG00000000197,snRNAseq2
25,Btbd17,ENSMUSG00000000202,snRNAseq2
26,Slfn4,ENSMUSG00000000204,snRNAseq2
27,Th,ENSMUSG00000000214,snRNAseq2
28,Ins2,ENSMUSG00000000215,snRNAseq2
29,Tspan32,ENSMUSG00000000244,snRNAseq2
30,Clec2g,ENSMUSG00000000248,snRNAseq2
31,Glra1,ENSMUSG00000000263,snRNAseq2
32,Mid2,ENSMUSG00000000266,snRNAseq2
33,Trim25,ENSMUSG00000000275,snRNAseq2
34,Dgke,ENSMUSG00000000276,snRNAseq2
35,Scpep1,ENSMUSG00000000278,snRNAseq2
36,Mnt,ENSMUSG00000000282,snRNAseq2
37,Itgb2,ENSMUSG00000000290,snRNAseq2
38,Hddc2,ENSMUSG00000000295,snRNAseq2
39,Cdh4,ENSMUSG00000000305,snRNAseq2
40,Ckmt1,ENSMUSG00000000308,snRNAseq2
41,Bcl6b,ENSMUSG00000000317,snRNAseq2
42,Alox12,ENSMUSG00000000320,snRNAseq2
43,Dazap2,ENSMUSG00000000346,snRNAseq2
44,Mcts1,ENSMUSG00000000355,snRNAseq2
45,Rem1,ENSMUSG00000000359,snRNAseq2
46,Rnf17,ENSMUSG00000000365,snRNAseq2
47,Trappc10,ENSMUSG00000000374,snRNAseq2
48,Wap,ENSMUSG00000000381,snRNAseq2
49,Tbrg4,ENSMUSG00000000384,snRNAseq2
50,Gcg,ENSMUSG00000000394,snRNAseq2
51,Egfl6,ENSMUSG00000000402,snRNAseq2
52,Lck,ENSMUSG00000000409,snRNAseq2
53,Tssk3,ENSMUSG00000000411,snRNAseq2
54,Galnt1,ENSMUSG00000000420,snRNAseq2
55,Myf5,ENSMUSG00000000435,snRNAseq2
56,Mkrn2,ENSMUSG00000000439,snRNAseq2
57,Pparg,ENSMUSG00000000440,snRNAseq2
58,Raf1,ENSMUSG00000000441,snRNAseq2
59,Sept1,ENSMUSG00000000486,snRNAseq2
60,Pdgfb,ENSMUSG00000000489,snRNAseq2
61,Acvrl1,ENSMUSG00000000530,snRNAseq2
62,Grasp,ENSMUSG00000000531,snRNAseq2
63,Acvr1b,ENSMUSG00000000532,snRNAseq2
64,Tom1l2,ENSMUSG00000000538,snRNAseq2
65,Gpa33,ENSMUSG00000000544,snRNAseq2
66,Zfp385a,ENSMUSG00000000552,snRNAseq2
67,Itga5,ENSMUSG00000000555,snRNAseq2
68,Wdr77,ENSMUSG00000000561,snRNAseq2
69,Adora3,ENSMUSG00000000562,snRNAseq2
70,Atp5f1,ENSMUSG00000000563,snRNAseq2
71,Sox9,ENSMUSG00000000567,snRNAseq2
72,Hnrnpd,ENSMUSG00000000568,snRNAseq2
73,Dynlt1c,ENSMUSG00000000579,snRNAseq2
74,Gm2a,ENSMUSG00000000594,snRNAseq2
75,Krit1,ENSMUSG00000000600,snRNAseq2
76,Clcn4,ENSMUSG00000000605,snRNAseq2
77,Vmn2r88,ENSMUSG00000000606,snRNAseq2
78,Grm6,ENSMUSG00000000617,snRNAseq2
79,Sema4f,ENSMUSG00000000627,snRNAseq2
80,Hk2,ENSMUSG00000000628,snRNAseq2
81,Myo18a,ENSMUSG00000000631,snRNAseq2
82,Sez6,ENSMUSG00000000632,snRNAseq2
83,Haao,ENSMUSG00000000673,snRNAseq2
84,Cd52,ENSMUSG00000000682,snRNAseq2
85,Abhd15,ENSMUSG00000000686,snRNAseq2
86,Hoxb6,ENSMUSG00000000690,snRNAseq2
87,Loxl3,ENSMUSG00000000693,snRNAseq2
88,Btn1a1,ENSMUSG00000000706,snRNAseq2
89,Kat2b,ENSMUSG00000000708,snRNAseq2
90,Rab5b,ENSMUSG00000000711,snRNAseq2
91,Dnmt3l,ENSMUSG00000000730,snRNAseq2
92,Aire,ENSMUSG00000000731,snRNAseq2
93,Spg7,ENSMUSG00000000738,snRNAseq2
94,Sult5a1,ENSMUSG00000000739,snRNAseq2
95,Rpl13,ENSMUSG00000000740,snRNAseq2
96,Chmp1a,ENSMUSG00000000743,snRNAseq2
97,Rpa1,ENSMUSG00000000751,snRNAseq2
98,Serpinf1,ENSMUSG00000000753,snRNAseq2
99,Tubgcp3,ENSMUSG00000000759,snRNAseq2
100,Polr3d,ENSMUSG00000000776,snRNAseq2
101,Tcf7,ENSMUSG00000000782,snRNAseq2
102,Il12rb1,ENSMUSG00000000791,snRNAseq2
103,Slc5a5,ENSMUSG00000000792,snRNAseq2
104,Kcnn3,ENSMUSG00000000794,snRNAseq2
105,Car4,ENSMUSG00000000805,snRNAseq2
106,Fasl,ENSMUSG00000000817,snRNAseq2
107,Dnajc5,ENSMUSG00000000826,snRNAseq2
108,Tpd52l2,ENSMUSG00000000827,snRNAseq2
109,Fmr1,ENSMUSG00000000838,snRNAseq2
110,Bcl11a,ENSMUSG00000000861,snRNAseq2
111,Il4,ENSMUSG00000000869,snRNAseq2
112,Pxmp4,ENSMUSG00000000876,snRNAseq2
113,Dlg3,ENSMUSG00000000881,snRNAseq2
114,Gnb1l,ENSMUSG00000000884,snRNAseq2
115,Smarcb1,ENSMUSG00000000902,snRNAseq2
116,Vpreb3,ENSMUSG00000000903,snRNAseq2
117,Hip1r,ENSMUSG00000000915,snRNAseq2
118,Nsun5,ENSMUSG00000000916,snRNAseq2
119,Top1mt,ENSMUSG00000000934,snRNAseq2
120,Hoxa10,ENSMUSG00000000938,snRNAseq2
121,Hoxa4,ENSMUSG00000000942,snRNAseq2
122,Mmp14,ENSMUSG00000000957,snRNAseq2
123,Slc7a7,ENSMUSG00000000958,snRNAseq2
124,Heatr6,ENSMUSG00000000976,snRNAseq2
125,Ccl3,ENSMUSG00000000982,snRNAseq2
126,Wfdc18,ENSMUSG00000000983,snRNAseq2
127,Icam4,ENSMUSG00000001014,snRNAseq2
128,Chtop,ENSMUSG00000001017,snRNAseq2
129,Snapin,ENSMUSG00000001018,snRNAseq2
130,S100a4,ENSMUSG00000001020,snRNAseq2
131,S100a3,ENSMUSG00000001021,snRNAseq2
132,S100a5,ENSMUSG00000001023,snRNAseq2
133,S100a6,ENSMUSG00000001025,snRNAseq2
134,Scn4a,ENSMUSG00000001027,snRNAseq2
135,Icam2,ENSMUSG00000001029,snRNAseq2
136,Mapk7,ENSMUSG00000001034,snRNAseq2
137,B9d1,ENSMUSG00000001039,snRNAseq2
138,Sec24b,ENSMUSG00000001052,snRNAseq2
139,N4bp3,ENSMUSG00000001053,snRNAseq2
140,Rmnd5b,ENSMUSG00000001054,snRNAseq2
141,Nhp2,ENSMUSG00000001056,snRNAseq2
142,C1ql4,ENSMUSG00000001076,snRNAseq2
143,Mfsd10,ENSMUSG00000001082,snRNAseq2
144,Luzp1,ENSMUSG00000001089,snRNAseq2
145,Slc13a2,ENSMUSG00000001095,snRNAseq2
146,Kctd10,ENSMUSG00000001098,snRNAseq2
147,Poldip2,ENSMUSG00000001100,snRNAseq2
148,Col6a1,ENSMUSG00000001119,snRNAseq2
149,Pcbp3,ENSMUSG00000001120,snRNAseq2
150,Lgals9,ENSMUSG00000001123,snRNAseq2
151,Cfp,ENSMUSG00000001128,snRNAseq2
152,Cnnm3,ENSMUSG00000001138,snRNAseq2
153,Lman2l,ENSMUSG00000001143,snRNAseq2
154,Mcm3ap,ENSMUSG00000001150,snRNAseq2
155,Pcnt,ENSMUSG00000001151,snRNAseq2
156,Gmcl1,ENSMUSG00000001157,snRNAseq2
157,Snrnp27,ENSMUSG00000001158,snRNAseq2
158,Ocrl,ENSMUSG00000001173,snRNAseq2
159,Calm1,ENSMUSG00000001175,snRNAseq2
160,Agpat3,ENSMUSG00000001211,snRNAseq2
161,Slc26a3,ENSMUSG00000001225,snRNAseq2
162,Sema6b,ENSMUSG00000001227,snRNAseq2
163,Uhrf1,ENSMUSG00000001228,snRNAseq2
164,Dpp9,ENSMUSG00000001229,snRNAseq2
165,Ramp2,ENSMUSG00000001240,snRNAseq2
166,Lsr,ENSMUSG00000001247,snRNAseq2
167,Hpn,ENSMUSG00000001249,snRNAseq2
168,Gabrg1,ENSMUSG00000001260,snRNAseq2
169,Ckb,ENSMUSG00000001270,snRNAseq2
170,Sp1,ENSMUSG00000001280,snRNAseq2
171,Itgb7,ENSMUSG00000001281,snRNAseq2
172,Myg1,ENSMUSG00000001285,snRNAseq2
173,Rarg,ENSMUSG00000001288,snRNAseq2
174,Pfdn5,ENSMUSG00000001289,snRNAseq2
175,Efnb2,ENSMUSG00000001300,snRNAseq2
176,Rnd2,ENSMUSG00000001313,snRNAseq2
177,Srr,ENSMUSG00000001323,snRNAseq2
178,Sync,ENSMUSG00000001333,snRNAseq2
179,Fndc5,ENSMUSG00000001334,snRNAseq2
180,Acp5,ENSMUSG00000001348,snRNAseq2
181,Fbxo9,ENSMUSG00000001366,snRNAseq2
182,Vps50,ENSMUSG00000001376,snRNAseq2
183,Hars,ENSMUSG00000001380,snRNAseq2
184,Zmat2,ENSMUSG00000001383,snRNAseq2
185,Ube2c,ENSMUSG00000001403,snRNAseq2
186,Smg5,ENSMUSG00000001415,snRNAseq2
187,Cct3,ENSMUSG00000001416,snRNAseq2
188,Glmp,ENSMUSG00000001418,snRNAseq2
189,Mef2d,ENSMUSG00000001419,snRNAseq2
190,Tmem79,ENSMUSG00000001420,snRNAseq2
191,Snd1,ENSMUSG00000001424,snRNAseq2
192,Slc19a1,ENSMUSG00000001436,snRNAseq2
193,Kpnb1,ENSMUSG00000001440,snRNAseq2
194,Npepps,ENSMUSG00000001441,snRNAseq2
195,Tbx21,ENSMUSG00000001444,snRNAseq2
196,Cyp51,ENSMUSG00000001467,snRNAseq2
197,Tcf25,ENSMUSG00000001472,snRNAseq2
198,Tubb6,ENSMUSG00000001473,snRNAseq2
199,Def8,ENSMUSG00000001482,snRNAseq2
200,Meox1,ENSMUSG00000001493,snRNAseq2
201,Sost,ENSMUSG00000001494,snRNAseq2
202,Nkx2-1,ENSMUSG00000001496,snRNAseq2
203,Pax9,ENSMUSG00000001497,snRNAseq2
204,Irx2,ENSMUSG00000001504,snRNAseq2
205,Col1a1,ENSMUSG00000001506,snRNAseq2
206,Itga3,ENSMUSG00000001507,snRNAseq2
207,Dlx3,ENSMUSG00000001510,snRNAseq2
208,Foxm1,ENSMUSG00000001517,snRNAseq2
209,Nrip2,ENSMUSG00000001520,snRNAseq2
