,n_genes,dataset
F18.MAA000377.3_9_M.1.1,2334,tabula_muris_2018_smatseq2
J20.MAA000377.3_9_M.1.1,2640,tabula_muris_2018_smatseq2
F19.MAA000377.3_9_M.1.1,1601,tabula_muris_2018_smatseq2
J21.MAA000377.3_9_M.1.1,1533,tabula_muris_2018_smatseq2
F20.MAA000377.3_9_M.1.1,2620,tabula_muris_2018_smatseq2
J22.MAA000377.3_9_M.1.1,1715,tabula_muris_2018_smatseq2
G11.MAA000377.3_9_M.1.1,2387,tabula_muris_2018_smatseq2
K9.MAA000377.3_9_M.1.1,1540,tabula_muris_2018_smatseq2
G13.MAA000377.3_9_M.1.1,1089,tabula_muris_2018_smatseq2
K11.MAA000377.3_9_M.1.1,2091,tabula_muris_2018_smatseq2
B6.MAA000377.3_9_M.1.1,1600,tabula_muris_2018_smatseq2
G15.MAA000377.3_9_M.1.1,1587,tabula_muris_2018_smatseq2
K13.MAA000377.3_9_M.1.1,2801,tabula_muris_2018_smatseq2
K14.MAA000377.3_9_M.1.1,1847,tabula_muris_2018_smatseq2
B7.MAA000377.3_9_M.1.1,2854,tabula_muris_2018_smatseq2
G18.MAA000377.3_9_M.1.1,678,tabula_muris_2018_smatseq2
K15.MAA000377.3_9_M.1.1,1318,tabula_muris_2018_smatseq2
B8.MAA000377.3_9_M.1.1,4033,tabula_muris_2018_smatseq2
G19.MAA000377.3_9_M.1.1,2915,tabula_muris_2018_smatseq2
B10.MAA000377.3_9_M.1.1,1788,tabula_muris_2018_smatseq2
H3.MAA000377.3_9_M.1.1,1823,tabula_muris_2018_smatseq2
K17.MAA000377.3_9_M.1.1,2291,tabula_muris_2018_smatseq2
B14.MAA000377.3_9_M.1.1,3330,tabula_muris_2018_smatseq2
H12.MAA000377.3_9_M.1.1,6094,tabula_muris_2018_smatseq2
C10.MAA000377.3_9_M.1.1,2769,tabula_muris_2018_smatseq2
H13.MAA000377.3_9_M.1.1,1213,tabula_muris_2018_smatseq2
K22.MAA000377.3_9_M.1.1,425,tabula_muris_2018_smatseq2
K18.MAA000377.3_9_M.1.1,2968,tabula_muris_2018_smatseq2
C13.MAA000377.3_9_M.1.1,1345,tabula_muris_2018_smatseq2
C14.MAA000377.3_9_M.1.1,3301,tabula_muris_2018_smatseq2
H14.MAA000377.3_9_M.1.1,1033,tabula_muris_2018_smatseq2
H16.MAA000377.3_9_M.1.1,1270,tabula_muris_2018_smatseq2
L9.MAA000377.3_9_M.1.1,1513,tabula_muris_2018_smatseq2
L7.MAA000377.3_9_M.1.1,1597,tabula_muris_2018_smatseq2
C18.MAA000377.3_9_M.1.1,2781,tabula_muris_2018_smatseq2
H17.MAA000377.3_9_M.1.1,3195,tabula_muris_2018_smatseq2
L11.MAA000377.3_9_M.1.1,1428,tabula_muris_2018_smatseq2
D10.MAA000377.3_9_M.1.1,417,tabula_muris_2018_smatseq2
H20.MAA000377.3_9_M.1.1,1547,tabula_muris_2018_smatseq2
L12.MAA000377.3_9_M.1.1,3489,tabula_muris_2018_smatseq2
D12.MAA000377.3_9_M.1.1,3313,tabula_muris_2018_smatseq2
I9.MAA000377.3_9_M.1.1,1102,tabula_muris_2018_smatseq2
L13.MAA000377.3_9_M.1.1,1811,tabula_muris_2018_smatseq2
D15.MAA000377.3_9_M.1.1,1004,tabula_muris_2018_smatseq2
I14.MAA000377.3_9_M.1.1,2036,tabula_muris_2018_smatseq2
L15.MAA000377.3_9_M.1.1,5225,tabula_muris_2018_smatseq2
E14.MAA000377.3_9_M.1.1,2544,tabula_muris_2018_smatseq2
I15.MAA000377.3_9_M.1.1,2588,tabula_muris_2018_smatseq2
L16.MAA000377.3_9_M.1.1,151,tabula_muris_2018_smatseq2
F11.MAA000377.3_9_M.1.1,2599,tabula_muris_2018_smatseq2
