HumanGeneID	HumanModule	HumanPadj	MouseGeneID	MouseModule	MousePadj	ProfileCorrelation
ALB	1	0	Alb	31	0	0.995138773247449
HPD	35	1.02604210519762e-41	Hpd	1	3.2941754868815e-107	0.98540314068604
NINJ1	35	0.0318728280128299	Ninj1	1	0.000664132193241985	0.975732748185688
ITIH2	1	2.07881503984939e-34	Itih2	31	7.03828140094212e-23	0.975072372631378
APOH	1	1.00367409008772e-110	Apoh	31	8.2558333186482e-25	0.965984822098393
ABHD14B	35	1.03808255809503e-05	Abhd14b	1	1.19111482965402e-05	0.965420929753427
HSD17B6	1	7.90538320716012e-24	Hsd17b6	31	5.00753602723839e-36	0.961981067699057
GC	1	5.59193657037378e-113	Gc	31	6.60872057974841e-52	0.960682966880109
ACADS	35	1.40152403319289e-16	Acads	1	1.48777398241351e-07	0.959870010641427
FGB	1	1.58902656747711e-46	Fgb	31	2.15791304102196e-18	0.95431846499497
STARD10	35	8.25792919708198e-09	Stard10	1	8.94434387135488e-27	0.951578059310455
ETFB	35	4.38683842389324e-11	Etfb	1	1.60281335930307e-13	0.9496023618271
SAA4	35	1.19749111710007e-06	Saa4	1	4.50756778023736e-21	0.948968614494776
HSD11B1	1	4.97939151269351e-15	Hsd11b1	31	1.86520807409245e-107	0.946634011911811
GPX1	35	4.70721050315259e-16	Gpx1	1	0.00272615078860872	0.946118649397575
FGG	1	1.76094778995358e-79	Fgg	31	4.60626139074343e-74	0.942072090274587
TMEM59	1	1.11839924097011e-10	Tmem59	31	6.0019281467308e-08	0.937393444688252
PTMS	35	1.22890867696721e-76	Ptms	1	1.48086903441511e-23	0.935691244273717
HSD17B13	1	8.36649317216389e-15	Hsd17b13	31	1.79606280841581e-91	0.934083653068159
HMGCL	35	0.00335181352638412	Hmgcl	1	5.94679804825386e-08	0.932879945663803
GPT2	35	1.17575614852185e-18	Gpt2	1	1.27617371433889e-08	0.931559848059251
CPB2	1	1.35470115552854e-18	Cpb2	31	3.18863477359104e-11	0.929838362637695
COX8A	35	7.03945696314104e-17	Cox8a	1	7.62597471441974e-06	0.929710425260498
PRDX5	35	4.36741261869478e-06	Prdx5	1	1.3407457337281e-18	0.928962226158046
C6orf106	35	4.54790153030479e-05	D17Wsu92e	1	1.11941374442728e-11	0.927345317265876
SDC2	1	0.000619888335784123	Sdc2	31	3.85429271107583e-06	0.92733169352918
SERPINC1	1	3.69512246099352e-57	Serpinc1	31	1.2894137032544e-41	0.918926322090986
ACTB	34	1.39440151904625e-48	Actb	1	2.85533142102107e-20	0.915867149938366
CPS1	1	0.000105206336932423	Cps1	31	1.49963867177274e-18	0.914247439332732
DYNLL2	35	8.92320869747989e-05	Dynll2;Gdi-1	1	1.07393359183601e-08	0.911141291497083
NFKBIA	35	4.96931527448321e-13	Nfkbia	1	0.00537845730227479	0.911043418533953
GNAI2	35	3.37601239756651e-16	Gnai2	1	4.69353722120329e-06	0.910114434209293
ETNPPL	1	0.000249770437326646	Agxt2l1	31	1.00814808395409e-51	0.909456222346767
SLC38A4	1	2.07949338410455e-29	Slc38a4	31	3.98081270572226e-27	0.90662330963219
AES	35	8.78735541091637e-08	Aes	1	4.17626852553466e-17	0.905509664158784
EDF1	35	4.66811356513041e-14	Edf1	1	4.67207712520032e-18	0.90519188339707
EIF5B	34	1.51084038818135e-05	Eif5b	1	1.15205824408267e-07	0.904961392717169
SRRM1	35	1.38531385091217e-06	Srrm1	1	7.55245452450446e-05	0.903802697753328
LMAN1	1	0.00208518142739944	Lman1	29	0.0010515523238126	0.902285607044423
PAH	1	1.01879204761262e-28	Pah	31	2.52143793318179e-09	0.898971221836241
RPL29	32	1.46827793923851e-05	Rpl29	1	1.08768297532061e-07	0.896946730752267
HP	34	2.06362484234008e-31	Hp	7	3.8090012090092e-08	0.896884058273327
